site,latitude,longitude,height,source
1LSU,30.407424599,-91.1802641795,-6.61861,gage
1NSU,31.7508004354,-93.0976060235,28.01886,gage
1ULM,32.5290337232,-92.0759089686,15.93655,gage
7ODM,34.1164088465,-117.093199285,762.07883,gage
AB01,52.20950466,-174.204754769999,25.6,rtdb
AB02,52.9706018583,-168.8546722426,192.81689,gage
AB04,63.6568606362,-170.5674434061,136.54732,gage
AB06,54.885318623,-163.4234559012,500.44846,gage
AB07,55.3492704544,-160.4767572722,89.50002,gage
AB08,60.3848279521,-166.2008569138,26.50294,gage
AB09,65.6149774997,-168.0621257157,162.08038,gage
AB11,64.5644921431,-165.3734593368,349.44392,gage
AB12,58.950797,-161.746239,586.43,rtdb
AB13,56.307328,-158.503773,487.24,rtdb
AB14,59.1081620001,-159.0915334018,657.65353,gage
AB15,61.0397486539,-159.8783626092,560.32895,gage
AB17,63.8863554774,-160.6947325158,117.43249,gage
AB18,66.8583592989,-162.6135093991,37.09991,gage
AB21,51.8641478657,-176.6626506168,59.41162,gage
AB22,59.8993157907,-154.6982603651,199.86743,gage
AB25,62.9293064388,-156.023392828,961.05152,gage
AB27,67.055889,-156.904859,507.587,rtdb
AB28,62.0938110131,-152.8149204243,1582.76918,gage
AB33,67.2510088335,-150.1725471975,334.77316,gage
AB35,60.079065,-142.389846,536.433,rtdb
AB36,65.0304,-150.743955,816.039,rtdb
AB37,62.9673211693,-145.4518865048,1136.68777,gage
AB39,66.55934629,-145.212631,147.6926,rtdb
AB41,64.7773227706,-141.1580706926,285.91168,gage
AB42,59.340375,-138.898811,773.2304,rtdb
AB43,58.1988411228,-136.6408139713,27.2795,gage
AB44,59.5280371251,-135.2283016293,304.50929,gage
AB45,68.7604912971,-148.8711551588,507.02222,gage
AB46,68.120668396,-145.5679052231,647.87074,gage
AB48,56.2450593214,-134.6470020048,5.33782,gage
AB49,55.5800996281,-133.0684898939,17.52743,gage
AB50,58.4167730778,-134.5453053918,51.89293,gage
AB51,56.7976205732,-132.913565866,76.09761,gage
AB53,56.58475572,-132.867247,1016.1312,rtdb
ABVI,18.72968371,-64.33248523,-35.5512,rtdb
AC02,56.9505853943,-154.1830511906,126.88489,gage
AC03,59.770633695,-151.8645354576,19.779,gage
AC06,59.7636347486,-150.8905623145,631.59218,gage
AC07,65.9612892533,-161.2866174045,176.31814,gage
AC08,58.9287714568,-153.6447026192,644.29854,gage
AC09,59.8684792101,-144.5238561705,368.93532,gage
AC10,54.5225781556,-164.8867311267,170.53453,gage
AC11,61.8070776342,-148.3317554811,790.95663,gage
AC12,54.83097,-159.58954,83.837,rtdb
AC13,55.8218944593,-155.6224010602,222.72046,gage
AC14,60.8487034523,-147.9995889397,748.75964,gage
AC15,60.4813321249,-149.724012969,151.58766,gage
AC16,60.518204,-148.093209,33.679,rtdb
AC17,60.6638980619,-152.4038481644,882.74991,gage
AC18,58.9259545125,-152.2495338362,214.8381,gage
AC19,62.5192097934,-153.6073353086,546.54981,gage
AC20,60.9292065677,-149.3525100373,43.79347,gage
AC21,55.9210822272,-159.1277197263,170.85407,gage
AC23,60.4750897107,-150.8779576761,80.92239,gage
AC24,58.6815686551,-156.6527576718,36.38028,gage
AC25,55.0889642106,-162.3140535779,584.27503,gage
AC26,58.214552355,-154.1502949046,190.2051,gage
AC27,59.2525025342,-154.1628830535,417.547,gage
AC28,55.07849,-160.04914,364.517,rtdb
AC29,59.429589189,-146.3399819142,56.62051,gage
AC30,59.855818,-147.739208,750.355,rtdb
AC31,64.6379721003,-162.2391273632,228.33557,gage
AC32,61.4731175026,-150.736920542,1347.78333,gage
AC33,62.6711744866,-150.6850791511,1521.16485,gage
AC34,57.2200263616,-153.2791845029,103.28899,gage
AC35,59.375811,-150.793245,408.4149,rtdb
AC36,60.9553143716,-150.6083518255,46.53943,gage
AC37,60.439689,-153.865359,1626.065,rtdb
AC38,57.7536830343,-153.341877298,43.92617,gage
AC39,58.6097159439,-152.394076212,157.2961,gage
AC40,56.9303469437,-158.6185721014,39.92547,gage
AC41,55.908671,-160.407284,407.149,rtdb
AC42,54.4717728422,-162.7836535458,257.92348,gage
AC43,59.521279,-149.628711,69.109,rtdb
AC44,61.2421714221,-149.5671308249,832.19533,gage
AC45,56.5644545649,-154.1809683303,451.01075,gage
AC46,61.9862650924,-151.5240051643,619.82463,gage
AC47,60.081452,-152.62392,921.762,rtdb
AC48,60.6458650216,-147.3430255199,379.50876,gage
AC50,65.5538453216,-164.5665704599,516.83912,gage
AC51,61.4980791032,-151.8353504923,957.50774,gage
AC52,57.5672454464,-157.5742194673,51.85683,gage
AC53,61.768973,-150.068952,57.4485,rtdb
AC55,62.384445,-151.764565,1011.891,rtdb
AC57,61.138597865,-145.7427117952,826.53295,gage
AC58,57.1560847319,-170.2178208931,19.37927,gage
AC59,59.567193204,-153.585202596,308.66687,gage
AC60,52.7146188006,174.076263292,18.32837,gage
AC61,64.0292567213,-142.0758507099,745.3958,gage
AC62,63.0836043534,-146.3127040102,1347.1869,gage
AC63,63.5024231596,-145.8472485806,815.17906,gage
AC64,62.714015096,-144.3039961406,774.6374,gage
AC65,62.8315096695,-143.7042243061,735.90989,gage
AC66,51.3781272051,179.3013198441,106.77667,gage
AC67,57.7907164706,-152.4254385928,347.37082,gage
AC70,63.3047084057,-148.188327225,810.90053,gage
AC71,64.0493020526,-145.7136266529,364.02322,gage
AC72,63.6950553843,-145.8876993791,558.88066,gage
AC74,63.4643537884,-148.8072640863,668.62021,gage
AC75,62.9993017122,-149.6088263146,608.69551,gage
AC76,63.0399957415,-143.2588182228,1585.31573,gage
AC77,62.6880306873,-145.4262644163,746.92894,gage
AC78,63.1134886979,-142.0279407432,643.73298,gage
AC79,59.9978718815,-147.4030530317,287.73661,gage
AC80,62.3940743514,-151.7650452049,1114.55274,gage
AC81,61.7613129141,-150.0536949248,72.80665,gage
ACHO,7.4147326687,-80.1731032422,35.56932,gage
ACSB,33.2742669099,-117.4448964452,-12.32604,gage
ACSO,40.2323611018,-82.981534757,248.14714,gage
ACSX,33.2742669052,-117.4448964359,-12.32372,gage
ADRI,41.9189896069,-84.0242831837,205.92929,gage
AECT,4.7664,-75.95415,933.92439,rtdb
AEDA,-20.546209048221453,-70.17765663419941,90.28990050635069,rtdb
AEDO,4.68843,-74.13879,2569.10343,rtdb
AEMO,9.26297,-74.43578,16.66365,rtdb
AESI,11.11253,-74.23094,0.01,rtdb
AGMT,34.5942812753,-116.4293826992,1337.82349,gage
AGNS,42.5527648097,-124.0591143652,51.35837,gage
AGPR,18.4675343473,-67.1112341241,72.97171,gage
AGTU,5.51988,-73.3737,2907.81595,rtdb
AHID,42.773117751,-111.0637441156,1975.53234,gage
AIRS,16.7408304101,-62.2138545946,84.43824,gage
AJCM,5.21041,-74.88455,487.55669,rtdb
AL2H,48.38977968,-123.48747265,31.771,shakealert
AL30,33.5323512119,-86.8534164248,148.45437,gage
AL50,33.167974324,-87.5015168567,97.86725,gage
AL60,32.4113740984,-86.2705498758,44.68886,gage
AL90,30.6908306942,-88.0317138301,-17.38813,gage
ALAM,37.3579565928,-115.1584622069,1090.00182,gage
ALBH,48.3897796838,-123.4874726833,31.77297,gage
ALDR,39.65467435,-122.71611851,1362.9477,shakealert
ALGO,45.955800814,-78.0713726573,200.97947,gage
ALPP,34.8244919976,-118.6948055071,918.0974,gage
ALTH,36.88960584,-120.66976592,18.3073,shakealert
ANA1,34.0150089168,-119.3634777067,22.42098,gage
ANAT,46.132862999,-117.135430548,1087.26593,gage
ANIG,21.05384491705364,-104.52070982185148,1003.2377404224006,rtdb
ANTC,-37.33869744731553,-71.53206258524509,746.5293176561946,rtdb
AOPR,18.34657,-66.753687,350.6886,rtdb
AQUE,37.238118704,-116.1599137557,1909.725,gage
AR27,33.3418505129,-117.324936008,32.28478,gage
AR53,33.3811372942,-117.4765105586,111.02264,gage
ARBT,35.7098754376,-91.6285496714,91.97136,gage
ARCM,33.542404436,-92.8827343791,25.46014,gage
ARFY,36.1157980592,-94.1800495841,349.53972,gage
ARHP,33.6960552712,-93.6005550525,84.43272,gage
ARHR,36.1842386093,-93.0302133156,332.30585,gage
ARIG,18.28049708854811,-100.34749776353542,378.5047393148618,rtdb
ARLI,48.17406553,-122.14186221,23.3002,shakealert
ARLN,45.7082043138,-120.1832725672,120.38034,gage
ARM1,35.2012518553,-118.9104288869,76.15252,gage
ARM2,35.2012595493,-118.9105636776,76.14976,gage
ARPG,36.0591140558,-90.5187956431,68.35318,gage
ASBU,43.8205640298,-121.3685091224,1508.85211,gage
ASHL,42.18068991,-122.67017247,608.7142,shakealert
ASUB,36.2141313994,-81.6818550835,956.57891,gage
ASVI,4.27244,-74.79627,304.84772,rtdb
AT01,63.4840432473,-162.0064018502,21.65965,gage
ATT3,18.5069348241,-69.9791714434,29.52961,gage
ATW2,61.5977524093,-149.1322986558,97.1276,gage
AV01,59.3585257618,-153.4608032484,487.30255,gage
AV02,59.3329695324,-153.4283931622,229.89584,gage
AV04,59.362578276,-153.4446749411,915.98058,gage
AV06,54.1471756958,-165.7657224147,463.15058,gage
AV07,54.1629334591,-166.0385391629,521.21446,gage
AV08,54.1363,-166.028271,598.4007,rtdb
AV09,53.8756309663,-166.5418383488,105.73692,gage
AV10,54.0976056532,-165.9337665346,329.61437,gage
AV11,59.3706229314,-153.3546878829,114.99435,gage
AV12,54.2108,-165.897546,404.6997,rtdb
AV13,54.1530776766,-165.897816547,494.88321,gage
AV14,54.1188910255,-165.8415701303,396.41152,gage
AV15,54.1001901331,-165.7101148237,457.4791,gage
AV16,59.3859061635,-153.5350471425,25.46669,gage
AV17,59.4039418301,-153.4514474767,29.47586,gage
AV18,59.3804290609,-153.4368356494,367.17412,gage
AV19,59.354909,-153.414305,646.938,rtdb
AV20,59.347376715,-153.4282078325,542.25385,gage
AV24,54.5899813951,-164.7548058267,481.83908,gage
AV25,54.53000312,-164.779498,651.9893,rtdb
AV26,54.5716516732,-164.5804654105,577.73036,gage
AV27,54.4923468467,-164.72316566,978.0649,gage
AV29,54.4723491435,-164.5861506726,972.01707,gage
AV34,54.7249056641,-163.712920822,636.43945,gage
AV35,54.846691556,-164.3869178296,647.015,gage
AV36,54.7717910266,-164.1268053374,648.43629,gage
AV37,54.7093765085,-163.9972362266,796.07617,gage
AV38,54.8314655035,-163.7808752114,492.33392,gage
AV39,54.8113421,-163.998466,797.3963,rtdb
AV40,54.6445333592,-163.7429692888,413.98609,gage
AVCA,43.0609144855,-82.6877476687,200.46729,gage
AVRY,34.4683018891,-117.1539769507,888.90584,gage
AZAM,31.7300313743,-111.0713624878,928.93049,gage
AZFL,35.1773091735,-111.6570409483,2087.96527,gage
AZGB,33.3953575652,-110.7714569041,1097.80246,gage
AZPG,36.9086677615,-111.462692828,1301.94849,gage
AZRV,34.1319302466,-109.2810241281,2110.63479,gage
AZRY,33.5400743586,-116.6297037527,1265.68554,gage
AZSF,32.802035396,-109.7119163984,896.96699,gage
AZSV,34.2649943429,-111.2405180062,1465.25314,gage
AZTP,33.4456874507,-111.9376455956,360.37961,gage
AZU1,34.1260206882,-117.8964943091,144.73279,gage
AZUP,33.4809242117,-111.6200139722,591.6017,gage
AZVA,31.9540764488,-110.7703017301,1010.15087,gage
B001,48.04307,-123.13141,237.0,rtdb
B004,48.20193,-124.42701,30.0,rtdb
B011,48.64954,-123.44819,22.0,rtdb
B012,48.92463,-125.54198,13.0,rtdb
BACO,39.3994639902,-76.6067972245,127.03107,gage
BALD,37.7834270117,-118.9013964354,2749.55837,gage
BAMF,48.83532802,-125.13510598,10.8119,shakealert
BAMO,40.41275,-117.204566,1792.4592,rtdb
BAR1,33.48045514,-119.02974426,14.7612,shakealert
BARA,18.2087000076,-71.0982265486,6.73457,gage
BARH,44.3950493071,-68.2216944643,6.76358,gage
BARU,10.25761,-75.58998,27.54043,rtdb
BBAY,48.89907668,-122.76947092,-8.2246,shakealert
BBDM,34.582201674,-119.9815218857,204.88579,gage
BBID,44.185045,-111.526126,1789.9517,rtdb
BBRY,34.2642794455,-116.8842466351,2051.0669,gage
BBWY,44.485810683,-110.855105546,2213.60678,gage
BCES,48.42926197,-123.42871065,21.1436,shakealert
BCOV,50.54427949,-126.84264548,37.3788,shakealert
BCWR,34.920463499,-119.4058562617,1332.90262,gage
BDLA,28.9720201523,-113.5472197113,-30.33477,gage
BDRY,48.9866974486,-117.349929513,601.80427,gage
BELI,48.7552671771,-122.4789748932,10.57512,gage
BEMT,34.0005331703,-115.9981944639,1373.63481,gage
BEND,44.05715753,-121.31518905,1095.8188,shakealert
BEPK,35.8783880255,-118.0740983706,2471.08717,gage
BET1,60.7879124252,-161.8417257327,51.72771,gage
BGGY,17.0451214813,-61.8611621845,356.27435,gage
BGIS,33.9671205883,-118.1597044777,2.76527,gage
BIGD,47.9332924394,-118.9888358421,493.31473,gage
BIJA,9.7499760668,-84.5768670212,555.63031,gage
BILL,33.5782456079,-117.0646073235,470.03431,gage
BILS,47.5393441769,-124.25252665,38.37778,gage
BKAP,35.287046149,-116.0804277649,252.02705,gage
BKMS,33.9622608529,-118.0947062793,11.00468,gage
BLA1,37.2113489873,-80.4205105082,605.69464,gage
BLCL,52.38826188,-126.58925802,24.7986,shakealert
BLSA,33.79954606,-118.02868439,-23.1554,shakealert
BLW2,42.7671258368,-109.5578050124,2215.57966,gage
BLY1,42.40684387,-121.04906806,1313.4036,shakealert
BLYN,48.016058,-122.92754,613.2876,rtdb
BLYT,33.6104135024,-114.7148540279,85.92606,gage
BMHL,34.2514440188,-116.0529813226,722.63212,gage
BNGN,45.7182525,-121.475339,20.56,shakealert
BNZA,-1.8977884781,29.2972924815,1709.04421,gage
BOGT,4.6400757158,-74.080939595,2576.1567,gage
BOMG,33.3646281964,-115.7297086393,-84.22709,gage
BOMR,19.870859,-155.112148,101.5,rtdb
BP01,4.64091,-74.08026,2581.77037,rtdb
BPKT,46.88315378,-120.32712412,564.5144,shakealert
BRAN,34.184896839,-118.2770577479,246.22675,gage
BREW,48.1315220546,-119.6826374215,238.59701,gage
BRI2,37.919470064,-122.1525285689,265.12507,gage
BRIB,37.91940585,-122.15255894,263.179,shakealert
BRN3,49.2698914,-123.0155812,32.665,shakealert
BRPK,34.68228477,-118.57681305,1729.0901,shakealert
BRSP,45.4015527756,-121.7085067698,2061.28184,gage
BRTW,27.9496286665,-81.7828404646,12.03309,gage
BSRY,34.9186123324,-117.0119972364,613.48358,gage
BTDM,34.2928080135,-118.1882336343,678.2429,gage
BUEG,34.6128511634,-120.1964128534,74.7136,gage
BURN,42.7794997739,-117.8435333006,1180.88515,gage
BVHS,29.3368079289,-89.4064011007,-15.7284,gage
BVPP,35.1572768805,-119.3475129403,123.02717,gage
BYAH,-1.6627023771,29.264614124,1596.27981,gage
BYSP,18.40787,-66.160921,86.6256,rtdb
CA99,37.6445633787,-118.8966962026,2391.51355,gage
CABA,10.2378742193,-85.3435332059,26.92798,gage
CABL,42.8360989539,-124.5633474591,37.84666,gage
CACT,33.6551349319,-115.9899533837,518.45021,gage
CAGS,45.5850214293,-75.807332396,235.02094,gage
CALN,-33.39800497915333,-70.53718433228143,897.2768299335586,rtdb
CALU,41.7298452135,-87.5384430192,147.94037,gage
CAND,35.93935378,-120.43370232,568.5199,shakealert
CARH,35.888387058,-120.4308285901,480.27598,gage
CASE,33.4553523167,-117.4039888453,776.47819,gage
CAST,39.1910207437,-110.6773166692,2245.02889,gage
CAT2,33.31161983,-118.33382379,477.1819,shakealert
CAT3,33.4457648583,-118.4830136025,5.11453,gage
CATH,46.1973018946,-123.3672725497,56.29926,gage
CAYA,17.048499996177526,-100.26730000505016,25.9299283910329,rtdb
CAYU,42.9435472,-76.54035805,206.0,rtdb
CBAA,-22.746367513393405,-68.4481489143935,3514.837928682806,rtdb
CBHS,34.1385641734,-118.6298130988,284.61103,gage
CBMD,19.7379762549,-79.7582592539,18.72886,gage
CCCC,35.565314462,-117.6711776216,813.9574,gage
CCCS,33.86274514,-117.86494994,31.8323,shakealert
CCPW,46.32120272,-117.97859805,497.3455,shakealert
CCSN,-33.46317433439625,-70.66405134727796,581.1450356142192,rtdb
CCST,34.80636365,-119.01347342,1578.1023,shakealert
CDAA,47.77121407,-116.80881283,692.8709,shakealert
CDLC,-22.189628490338112,-69.76152256591067,1999.2557467398722,rtdb
CDMT,34.82946667,-116.3359344,936.5059,shakealert
CEDA,40.6806939517,-112.8604852807,1472.50668,gage
CEDR,47.41314337,-121.75334774,471.6373,shakealert
CGDM,34.2439946466,-117.964952738,704.69175,gage
CGIG,30.365130753166994,-107.977324108939,1512.153800642113,rtdb
CGUA,-25.162622670071592,-69.59032435780468,2537.913127431088,rtdb
CGUI,12.9763,-87.5587,750.0,rtdb
CHAB,37.724115,-122.11931,213.9726,rtdb
CHCM,48.0106164012,-122.7758694119,20.37899,gage
CHDA,-33.98897691964932,-70.60894281103845,668.7974298127662,rtdb
CHEL,47.8315539291,-119.9899072208,345.51165,gage
CHEM,43.2243598,-121.78583581,1439.9662,shakealert
CHIL,34.3334246327,-118.0260062011,1567.51378,gage
CHLW,49.14351575,-121.99521959,1.7134,shakealert
CHMS,34.6404632457,-117.82770667,760.31463,gage
CHOW,37.08485103,-120.21051255,45.214,shakealert
CHRS,20.191949,-155.894755,98.5,rtdb
CHUR,58.7590770501,-94.0887347934,-19.11844,gage
CHWK,49.1566062762,-122.0084301426,174.03353,gage
CHZZ,45.4865146556,-123.9781248809,50.72771,gage
CIOH,10.232728635,-75.724202246,12.521,rtdb
CIRX,34.1095566482,-118.9373036189,488.19705,gage
CIT1,34.1367109505,-118.1272927121,215.35504,gage
CJMG,34.2711958228,-117.4244675764,1584.38501,gage
CJMS,34.3138005656,-117.4793888199,933.36317,gage
CJVG,34.5303221592,-118.1442347974,1304.84575,gage
CLAR,34.1099302078,-117.7088168582,373.6053,gage
CLBD,33.1353880961,-117.3109823515,20.57967,gage
CLGO,64.8737701729,-147.8604905681,196.12661,gage
CLGX,64.873774,-147.860487,196.1069,rtdb
CLHQ,42.8958767507,-122.135999935,1952.38511,gage
CLL1,-36.595074982541476,-72.07996456081133,153.98827015460492,rtdb
CLOV,40.55834,-114.87418,2126.0,rtdb
CLRS,48.8203030584,-124.1308865306,175.67786,gage
CLWZ,42.9342512566,-122.1491612147,1869.79854,gage
CMBA,-31.18819473547944,-70.99897460012566,963.4604409679529,rtdb
CMBB,38.0341758945,-120.3860454564,695.7224,gage
CMOD,37.6413367399,-120.9999817417,28.08014,gage
CMP9,34.3531820243,-118.4114318197,1137.98923,gage
CN00,17.6685259341,-61.7855778199,-21.95288,gage
CN01,17.0484205978,-61.7653668716,16.61998,gage
CN03,18.490464257,-64.4025200185,288.34972,gage
CN04,14.0235492321,-60.9738973368,24.39268,gage
CN05,18.5639027992,-68.3593923016,-33.26752,gage
CN06,18.7898257812,-70.6561097891,2311.71549,gage
CN07,19.7576319643,-70.565852095,-32.27953,gage
CN08,17.90337338,-71.6740682,-17.1169,rtdb
CN09,19.6877467699,-72.1398186162,-15.0388,gage
CN10,17.41519,-75.97055,-16.3245,rtdb
CN11,17.0211807913,-77.7841162503,-10.71592,gage
CN12,18.0044825045,-76.7490509893,169.9182,gage
CN13,24.0651861409,-74.5337850769,-34.6127,gage
