# IGS14 COORDINATES OF GAGE GPS NETWORK MONUMENTS 
#
# 1838 active stations analyzed by GAGE: Created on 01-JUL-2026 22:49:29
# WGS84 ellipsoid.  Position epoch specified for each site.
#
# ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
1LSU, Louisiana_St,       30.4074245990,  -91.1802641795,   -6.61861,  -113403.10894, -5504361.27925,  3209404.15986, 20260630
1NSU, Northwestern,       31.7508004354,  -93.0976060235,   28.01886,  -293349.75159, -5420742.30309,  3336980.80282, 20260630
1ULM, U_Of_La_At_M,       32.5290337232,  -92.0759089686,   15.93655,  -194982.31661, -5379221.89685,  3410046.78369, 20260630
7ODM, Seven_Oaks_SCIGN,   34.1164088465, -117.0931992850,  762.07883, -2407751.42550, -4706536.31379,  3557571.57537, 20260630
AB02, Nikolski__AK2007,   52.9706018583, -168.8546722426,  192.81689, -3776808.51149,  -744083.76495,  5068727.86500, 20260630
AB04, Savoonga__AK2007,   63.6568606362, -170.5674434061,  136.54732, -2799600.88554,  -465105.46148,  5692966.16579, 20260630
AB06, FalsePass_AK2005,   54.8853186230, -163.4234559012,  500.44846, -3524499.91678, -1049128.15154,  5194459.80075, 20260630
AB07, SandPoint_AK2004,   55.3492704544, -160.4767572722,   89.50002, -3425750.52364, -1214686.07529,  5223662.38265, 20260630
AB08, Mekoryuk__AK2008,   60.3848279521, -166.2008569138,   26.50294, -3068712.48889,  -753699.41712,  5521813.22412, 20260630
AB09, Razorback_AK2007,   65.6149774997, -168.0621257157,  162.08038, -2583615.02827,  -546237.02276,  5786501.60328, 20260630
AB11, Nome_AnvilAK2006,   64.5644921431, -165.3734593368,  349.44392, -2658010.69460,  -693674.87436,  5737338.36268, 20260630
AB14, DillinghamAK2007,   59.1081620001, -159.0915334018,  657.65353, -3066909.90078, -1171658.32035,  5450696.41102, 20260630
AB15, Nyac_Gold_AK2006,   61.0397486539, -159.8783626092,  560.32895, -2907528.50694, -1065249.56396,  5557978.83118, 20260630
AB17, UnalakleetAK2008,   63.8863554774, -160.6947325158,  117.43249, -2656728.29405,  -930647.22544,  5704255.50395, 20260630
AB18, Kotzebue__AK2007,   66.8583592989, -162.6135093991,   37.09991, -2398929.46696,  -751157.79392,  5842257.54751, 20260630
AB21, AdakIAleutAK2006,   51.8641478657, -176.6626506168,   59.41162, -3940203.84921,  -229767.86058,  4993529.78910, 20260630
AB22, IlliamnaHPAK2006,   59.8993157907, -154.6982603651,  199.86743, -2899273.75308, -1370588.12432,  5495032.82967, 20260630
AB25, Tatalina__AK2008,   62.9293064388, -156.0233928280,  961.05152, -2659626.58292, -1182841.15410,  5657252.30272, 20260630
AB28, Rainy_PassAK2006,   62.0938110131, -152.8149204243, 1582.76918, -2663005.56113, -1367722.43715,  5614814.66336, 20260630
AB33, Coldfoot__AK2006,   67.2510088335, -150.1725471975,  334.77316, -2145891.52447, -1230329.46130,  5859603.48889, 20260630
AB37, Paxson2___AK2004,   62.9673211693, -145.4518865048, 1136.68777, -2394434.12174, -1648611.15245,  5659336.07266, 20260630
AB41, EagleAirptAK2006,   64.7773227706, -141.1580706926,  285.91168, -2122882.52063, -1709400.69103,  5747432.66829, 20260630
AB43, CapeSpenceAK2007,   58.1988411228, -136.6408139713,   27.27950, -2449678.97408, -2313242.99078,  5397464.31251, 20260630
AB44, SkagwayUSCAK2005,   59.5280371251, -135.2283016293,  304.50929, -2302043.68493, -2283770.88216,  5474262.05433, 20260630
AB45, SagRivrDOTAK2007,   68.7604912971, -148.8711551588,  507.02222, -1983815.81653, -1198076.78454,  5922819.02298, 20260630
