FourCharID,Lat,Long,Height
7ODM,34.1164089551,-117.0931971146,762.09583
AB01,52.20950466,-174.204754769999,25.6
AB02,52.9706056,-168.85467034,192.7873
AB04,63.656869,-170.567419,135.799
AB06,54.885323,-163.423454,500.4025
AB07,55.349276,-160.476757,89.5787
AB08,60.38483202,-166.200857,26.5182
AB09,65.61498,-168.06214,162
AB11,64.564509,-165.37346,350
AB12,58.950797,-161.746239,586.43
AB13,56.307328,-158.503773,487.24
AB14,59.108168,-159.091509,657.008
AB15,61.039755,-159.878337,559.707
AB17,63.88635956,-160.694731,117.4453
AB18,66.858367,-162.613479,36.53
AB21,51.86415,-176.662647,59.3605
AB22,59.899322,-154.698235,199.303
AB25,62.92931061,-156.023391,961.0261
AB27,67.055889,-156.904859,507.587
AB28,62.093816,-152.814917,1582.6805
AB33,67.251013,-150.172544,334.7614
AB35,60.079065,-142.389846,536.433
AB36,65.0304,-150.743955,816.039
AB37,62.967323,-145.451876,1136.5763
AB39,66.55934629,-145.212631,147.6926
AB41,64.777325,-141.158038,285.678
AB42,59.340375,-138.898811,773.2304
AB43,58.19884205,-136.64080781,26.9246
AB44,59.528039,-135.228298,304.1266
AB45,68.760496,-148.871119,506.526
AB46,68.120672,-145.567869,647.576
AB48,56.245063,-134.646996,5.2572
AB49,55.580102,-133.068486,17.5352
AB50,58.416776,-134.5453,51.4998
AB51,56.797623,-132.91356,75.8118
AB53,56.58475572,-132.867247,1016.1312
ABVI,18.72968371,-64.33248523,-35.5512
AC02,56.950586,-154.183044,126.8512
AC03,59.770639,-151.864509,19.129
AC06,59.763638,-150.890558,631.4076
AC07,65.9613,-161.28659,178
AC08,58.928776,-153.644676,643.662
AC09,59.868477,-144.523822,368.562
AC10,54.52258181,-164.886728,170.4754
AC11,61.807079,-148.331747,790.8405
AC12,54.83097,-159.58954,83.837
AC13,55.82189642,-155.6224,222.8241
AC14,60.848701,-147.999555,748.324
AC15,60.481333,-149.724006,151.4154
AC16,60.518204,-148.093209,33.679
AC17,60.663904,-152.403821,882.089
AC18,58.92595843,-152.249531,214.6864
AC19,62.51921,-153.60733,546.5165
AC20,60.929208,-149.352502,43.6564
AC21,55.921091,-159.127701,170.344
AC23,60.475094,-150.877929,80.301
AC24,58.68157,-156.65273,35.813
AC25,55.088969,-162.314052,584.266
AC26,58.21457,-154.15031,171
AC27,59.252508,-154.16288,417.4896
AC28,55.07849,-160.04914,364.517
AC29,59.429579,-146.339972,60.949
AC30,59.855818,-147.739208,750.355
AC31,64.637979,-162.239099,227.699
AC32,61.473121,-150.736892,1347.321
AC33,62.67117,-150.68506,1519.56
AC34,57.220027,-153.279177,103.2155
AC35,59.375811,-150.793245,408.4149
AC36,60.95532,-150.60835,46.4323
AC37,60.439689,-153.865359,1626.065
AC38,57.753685,-153.341871,43.7815
AC39,58.60972,-152.39405,156.652
AC40,56.930354,-158.618549,39.305
AC41,55.908671,-160.407284,407.149
AC42,54.471779,-162.783631,257.228
AC43,59.521279,-149.628711,69.109
AC44,61.242173,-149.567125,832.1322
AC45,56.564453,-154.18096,451.0852
AC46,61.98627,-151.523976,619.272
AC47,60.081452,-152.62392,921.762
AC48,60.645861,-147.342991,379.154
AC50,65.553853,-164.566543,516.19
AC51,61.49808,-151.83535,958
AC52,57.567251,-157.574194,51.239
AC53,61.768973,-150.068952,57.4485
AC55,62.384445,-151.764565,1011.891
AC57,61.1386,-145.74271,828.419
AC58,57.15609,-170.21782,19.3411
AC59,59.567199,-153.5852,308.5589
AC60,52.71461965,174.07626889,18.2744
AC61,64.029259,-142.075819,745.116
AC62,63.083607,-146.312694,1347.1046
AC63,63.502427,-145.847245,815.026
AC64,62.714016,-144.303987,774.4556
AC65,62.83151,-143.704217,735.7994
AC66,51.37814,179.30131,101.54
AC67,57.79072,-152.42543,348.591
AC70,63.304711,-148.188293,810.422
AC71,64.049305,-145.713596,64.049305
AC72,63.695059577,-145.887696993,558.9216
AC74,63.464357446,-148.807257589,668.6698
AC75,62.999305506,-149.608819294,608.6846
AC76,63.0399983,-143.258816,1585.2461
AC77,62.688032,-145.42623,746.469
AC78,63.11349135,-142.027938,643.7176
AC79,59.99787,-147.40305,287.7699
AC80,62.39407799,-151.765041,1114.4647
AC81,61.76132,-150.05364,200
ACHO,7.4149,-80.1731,40
ACSB,33.27425,-117.4449,25
ACSO,40.232353,-82.981525,249.387
ACSX,33.274251,-117.444901,25
AECT,4.7664,-75.95415,933.92439
AEDA,-20.546209048221453,-70.17765663419941,90.28990050635069
AEDO,4.68843,-74.13879,2569.10343
AEMO,9.26297,-74.43578,16.66365
AESI,11.11253,-74.23094,0.01
AGMT,34.594282,-116.429378,1337.8404
AGNS,42.552768,-124.059137,51.23
AGTU,5.51988,-73.3737,2907.81595
AHID,42.773119,-111.06374,1975.5361
AIRS,16.7408514345,-62.2138562081,82.2349
AJCM,5.21041,-74.88455,487.55669
AL2H,48,-123,31
ALAM,37.212865,-115.093045,1090.0161
ALBH,48,-123,31
ALDR,39,-122,1362
ALTH,36,-120,18
ANA1,34.015005,-119.363468,22.4411
ANAT,46,-117,1087
ANIG,21.05384491705364,-104.52070982185148,1003.2377404224006
ANTC,-37.33869744731553,-71.53206258524509,746.5293176561946
AOPR,18.34657,-66.753687,350.6886
AR27,33.34178,-117.32495,68
AR53,33.38112,-117.47654,142
ARIG,18.28049708854811,-100.34749776353542,378.5047393148618
ARLI,48,-122,23
ARLN,45,-120,120
ARM1,35.20125173,-118.91042442,76.7323
ARM2,35.2012599461,-118.9105614252,76.40554
ASHL,42,-122,608
ASVI,4.27244,-74.79627,304.84772
ATW2,61.597754,-149.132291,97.0841
AV01,59.358531,-153.460801,487.2244
AV02,59.332975,-153.428391,229.7855
AV04,59.362584,-153.444672,915.9493
AV06,54.14718,-165.76572,463.0911
AV07,54.162938,-166.038536,521.0583
AV08,54.1363,-166.028271,598.4007
AV09,53.875635,-166.541836,105.6773
AV10,54.09761,-165.933764,329.524
AV11,59.370629,-153.354662,114.395
AV12,54.2108,-165.897546,404.6997
AV13,54.153082,-165.897815,494.7443
AV14,54.118895,-165.841568,396.3351
AV15,54.100194,-165.710112,457.4267
AV16,59.385912,-153.535022,24.857
AV17,59.403947,-153.451422,28.885
AV18,59.380435,-153.436812,366.697
AV19,59.354909,-153.414305,646.938
AV20,59.347382,-153.428182,541.695
AV24,54.58998439,-164.754803,481.7496
AV25,54.53000312,-164.779498,651.9893
AV26,54.57165435,-164.580465,577.5943
AV27,54.49235106,-164.723162,977.8823
AV29,54.47235357,-164.58615,971.862
AV34,54.72490945,-163.712919,636.3963
AV35,54.84669525,-164.386916,646.9972
AV36,54.77179461,-164.126803,648.4153
AV37,54.70938017,-163.997234,796.0397
AV38,54.83146915,-163.780873,492.3018
AV39,54.8113421,-163.998466,797.3963
AV40,54.64455,-163.74297,345
AVRY,34.468297,-117.153958,889.607
AZRY,33.5400741964,-116.6297012567,1265.71504
AZU1,34.126018,-117.896486,144.752
B001,48.04307,-123.13141,237
B004,48.20193,-124.42701,30
B011,48.64954,-123.44819,22
B012,48.92463,-125.54198,13
BACO,9.40244,-75.69193,13.80098
BAMF,48,-125,10
BAMO,40.41275,-117.204566,1792.4592
BAR1,33.480451,-119.029735,14.8146
BARA,18.208721,-71.098229,43
BARU,10.25761,-75.58998,27.54043
BBAY,48,-122,-9
BBDM,34.582198,-119.981512,204.8858
BBID,44.185045,-111.526126,1789.9517
BBRY,34.264279,-116.884241,2051.0638
BCES,48,-123,21
BCOV,50,-126,37
BCWR,34.9204634199,-119.405853601,1332.92196
BDLA,28.972023,-113.547221,-31.166
BDRY,48,-117,602
BELI,48,-122,10
BEMT,34.000534,-115.99819,1373.6489
BEND,44,-121,1095
BEPK,35.878388,-118.074092,2471.1201
BGGY,17.045,-61.8611,300
BGIS,33.9671201529,-118.1597015793,2.78973
BIGD,47,-118,493
BILL,33.578243,-117.064599,470.0611
BILS,47,-124,38
BKAP,35.287048,-116.080424,252.0399
BKMS,33.962257,-118.094697,11.0152
BLA1,37.211348,-80.420507,605.7008
BLCL,52,-126,24
BLSA,33,-118,-23
BLW2,42.767127,-109.557801,2215.5911
BLY1,42,-121,1313
BLYN,48.016058,-122.92754,613.2876
BLYT,33.6104143171,-114.7148526641,85.92659
BMHL,34.251445,-116.052978,722.6418
BNGN,45,-121,20
BNZA,-1.8978,29.297299,1708.5
BOMG,33.3646287439,-115.7297070979,-84.20121
BOMR,19.870859,-155.112148,101.5
BP01,4.64091,-74.08026,2581.77037
BPKT,46,-120,592
BRAN,34.184896495,-118.2770549424,246.27027
BREW,48,-119,238
BRI2,37,-122,265
BRIB,37,-122,263
BRN3,49,-123,32
BRPK,34,-118,1729
BSRY,34.918612,-117.011993,613.5034
BTDM,34.292805,-118.188225,678.2617
BUEG,34.6128503416,-120.1964097403,74.76379
BURN,42.779501,-117.843529,1180.9083
BVPP,35.157276,-119.347506,123.0578
BYAH,-1.662702,29.264607,1595.57
BYSP,18.40787,-66.160921,86.6256
CABL,42.836099,-124.563346,37.8365
CACT,33.655135419,-115.9899515631,518.4782
CALN,-33.39800497915333,-70.53718433228143,897.2768299335586
CAND,35.939352,-120.433696,568.4022
CARH,35.888383,-120.43082,480.2654
CASE,33.45534,-117.40406,714
CAST,39.191022,-110.677313,2245.0406
CAT2,33.311616,-118.333815,477.2619
CAT3,33.4458,-118.483,3.92
CATH,46,-123,56
CAYA,17.048499996177526,-100.26730000505016,25.9299283910329
CAYU,42.9435472,-76.54035805,206
CBAA,-22.746367513393405,-68.4481489143935,3514.837928682806
CBHS,34.13856,-118.629804,284.621
CCCC,35.565312,-117.671172,813.9681
CCCS,33,-117,31
CCPW,46,-117,497
CCSN,-33.46317433439625,-70.66405134727796,581.1450356142192
CDAA,47,-116,692
CDLC,-22.189628490338112,-69.76152256591067,1999.2557467398722
CDMT,34.829467,-116.335931,936.5821
CEDA,40.680696,-112.860481,1472.4928
CEDR,47,-121,471
CGDM,34.24399,-117.96494,704.7019
CGIG,30.365130753166994,-107.977324108939,1512.153800642113
CGUA,-25.162622670071592,-69.59032435780468,2537.913127431088
CGUI,12.9763,-87.5587,750
CHAB,37.724115,-122.11931,213.9726
CHCM,48,-122,20
CHDA,-33.98897691964932,-70.60894281103845,668.7974298127662
CHEL,47,-119,345
CHEM,43,-121,1439
CHIL,34.3334244805,-118.0260034847,1567.53314
CHLW,49,-121,1
CHMS,34.640462,-117.827701,760.3272
CHOW,37,-120,46
CHRS,20.191949,-155.894755,98.5
CHWK,49,-122,174
CHZZ,45.486515,-123.978123,50.7526
CIOH,10.232728635,-75.724202246,12.521
CIRX,34.109553,-118.937294,488.2148
CIT1,34.1367106822,-118.1272898699,215.36302
CJMG,34.2711959694,-117.4244653843,1584.41184
CJMS,34.3138006283,-117.4793865809,933.37925
CJVG,34.530321,-118.144232,1304.8
CLAR,34.10992817,-117.70880994,373.6266
CLBD,33.13538566,-117.310976,20.6124
CLGO,64.873774,-147.860487,196.1069
CLGX,64.873774,-147.860487,196.1069
CLL1,-36.595074982541476,-72.07996456081133,153.98827015460492
CLOV,40.55834,-114.87418,2126
CLRS,48,-124,175
CMBA,-31.18819473547944,-70.99897460012566,963.4604409679529
CMBB,38,-120,695
CMP9,34.3531817402,-118.4114290634,1138.04179
CN00,17.66852,-61.78558,-21.9819
CN01,17.04901,-61.75914,17.401
CN03,18.49047,-64.40222,303.1614
CN04,14.023571,-60.973898,24.139
CN05,18.563945,-68.359389,-28.292
CN06,18.789817,-70.656117,2228
CN07,19.75763084,-70.56585126,-32.2461
CN08,17.90337338,-71.6740682,-17.1169
CN09,19.6877,-72.1396,30
CN10,17.41519,-75.97055,-16.3245
CN11,17.0211799,-77.7841177,-10.7123
CN12,18.00448173,-76.7490521,169.902
CN13,24.06509,-74.53369,5
CN14,20.97535,-73.67796,5
CN15,26.55665578,-78.6930835,-27.5547
CN18,17.40759,-83.944381,7
CN19,12.611829,-70.048497,4.63
CN20,9.351737,-82.256249,24.72
CN21,13.402756,-87.427101,21.706
CN22,12.38409,-87.04469,28.8428
CN23,17.26061,-88.77876,55.1864
CN24,19.57563,-88.05392,16
CN25,16.23206,-92.13531,1597
CN26,22.382999,-89.682384,-10.067
CN27,19.66714,-69.93981,-21.1236
CN28,8.625078,-79.033712,28.694
CN29,14.04879667,-83.37463794,30.3025
CN30,11.99355131,-83.7720486,30.0339
CN33,8.48723951,-80.3266679,76.7982
CN34,8.548918,-78.014763,86.247
CN35,13.3755,-81.36292,47.84505
CN36,8.81965,-75.82113,15.3086
CN37,10.79258,-75.26317,1.44365
CN38,12.22182,-71.98803,10.44833
CN40,12.18004359,-68.9580146,33.3093
CN44,11.000453,-63.910301,837.853
CN45,10.837017,-60.938275,33.2
CN46,12.486845,-61.427088,21
CN47,13.71083,-60.940486,187.33
CN48,15.438899,-61.421659,285.7
CN53,21.7826,-72.2536,-11.506
CN55,8.243270989,-80.53933636,45.994
CN57,10.837114,-60.938327,33.2
CN58,18.58659,-63.4265,10
CN59,18.20662592,-63.0538521,11.138
CN60,8.62722,-79.0341,30
CN62,16.790254,-62.193977,146
CNC0,21.1744,-86.8208,-3
CNCR,48,-121,56
CNG2,12.50117,-86.69933,514
CNPP,33.857632,-117.608918,300.3139
COAG,32.863464044,-115.1233476396,3.64202
COBO,45,-122,46
COKG,32.8505138365,-115.7285031129,-46.88752
COLV,48,-117,491
COND,45,-120,865
CONS,-35.33095656912197,-72.41217205152753,39.78907034451905
COON,40.652591,-112.121011,1609.9923
COPR,34.414907,-119.879524,-22.8373
CORO,9.32809,-75.28785,155.7873
CORV,44.585535,-123.304604,105.6205
COSO,35.9823435442,-117.8088927738,1455.13371
COTD,33.732487,-116.386892,27.6
COUG,46,-122,151
COUP,48,-122,23
CPBN,35.071734,-117.573023,835.8403
CPXF,46,-122,533
CPXX,46.84,-122.26,533.7
CRBT,35.79161,-120.750753,205.444
CRCN,36,-119,28
CRFP,34.0390532931,-117.0996860634,688.82992
CRGG,35.2420919536,-119.7248247438,1173.08948
